objet_social_parent_id,objet_social_id,objet_social_lib
009000,009000,ACTION SOCIOCULTURELLE 
009000,009005,"maisons de jeunes, foyers, clubs de jeunes"
009000,009007,"maisons de la culture, office municipal,centres culturels"
009000,009010,loisirs pour personnes en situation de handicap 
009000,009015,"associations socio-éducatives, scoutisme"
009000,009020,"centres aérés, colonies de vacances"
009000,009025,mouvements éducatifs de jeunesse et d'éducation populaire 
009000,009030,comités des fêtes 
009000,009035,foyers ruraux 
009000,009040,clubs troisième âge 
009000,009045,"majorettes, twirlings, carnavals, défilés"
009000,009050,"jumelages, échanges culturels, organisation d'échanges linguistiques, échanges culturels au plan international"
001000,001000,ACTIVITÉS POLITIQUES 
001000,001005,associations à caractère politique général 
001000,001010,"soutien, financement de partis et de campagnes électorales"
001000,001015,action politique locale 
001000,001020,action politique globale 
001000,001025,activités citoyennes européennes 
040000,040000,"ACTIVITÉS RELIGIEUSES, SPIRITUELLES OU PHILOSOPHIQUES"
030000,030000,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030005,"comité, défense d'un emploi"
030000,030010,"entreprises d'insertion, associations intermédiaires, régies de quartier"
030000,030012,"comités de défense et d'animation de quartier, association locale ou municipale"
030000,030015,groupement d'employeurs 
030000,030020,aide à la création d'activités économiques individuelles 
030000,030050,promotion d'initiatives de développement durable 
014000,014000,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014025,organisation de professions (hors caractère syndical)  
014000,014030,association du personnel d'une entreprise (hors caractère syndical) 
014000,014035,groupements d'entraide et de solidarité 
014000,014040,"amicale de personnes originaires d'un même pays (hors défense des droits des étrangers), d'une même région du monde"
014000,014045,amicale de personnes originaires d'une même région 
014000,014050,associations féminines pour l'entraide et la solidarité (hors défense de droits fondamentaux) 
014000,014060,associations de personnes homosexuelles pour l'entraide et la solidarité (hors défense de droits fondamentaux) 
014000,014070,associations de personnes en situation de handicap pour l'entraide et la solidarité (hors défense de droits fondamentaux) 
014000,014080,associations de classe d.âge 
038000,038000,"ARMÉE (DONT  PRÉPARATION MILITAIRE, MÉDAILLES), ANCIENS COMBATTANTS"
038000,038105,anciens combattants 
038000,038110,"associations de militaires, amicales, associations de conscrits"
020000,020000,"ASSOCIATIONS CARITATIVES, HUMANITAIRES, AIDE AU DÉVELOPPEMENT, DÉVELOPPEMENT DU BÉNÉVOLAT"
