objet_social_parent_id,objet_social_id,objet_social_lib,objet_social_parent_lib
009000,009005,"maisons de jeunes, foyers, clubs de jeunes",ACTION SOCIOCULTURELLE 
009000,009007,"maisons de la culture, office municipal,centres culturels",ACTION SOCIOCULTURELLE 
009000,009010,loisirs pour personnes en situation de handicap ,ACTION SOCIOCULTURELLE 
009000,009015,"associations socio-éducatives, scoutisme",ACTION SOCIOCULTURELLE 
009000,009020,"centres aérés, colonies de vacances",ACTION SOCIOCULTURELLE 
009000,009025,mouvements éducatifs de jeunesse et d'éducation populaire ,ACTION SOCIOCULTURELLE 
009000,009030,comités des fêtes ,ACTION SOCIOCULTURELLE 
009000,009035,foyers ruraux ,ACTION SOCIOCULTURELLE 
009000,009040,clubs troisième âge ,ACTION SOCIOCULTURELLE 
009000,009045,"majorettes, twirlings, carnavals, défilés",ACTION SOCIOCULTURELLE 
009000,009050,"jumelages, échanges culturels, organisation d'échanges linguistiques, échanges culturels au plan international",ACTION SOCIOCULTURELLE 
001000,001005,associations à caractère politique général ,ACTIVITÉS POLITIQUES 
001000,001010,"soutien, financement de partis et de campagnes électorales",ACTIVITÉS POLITIQUES 
001000,001015,action politique locale ,ACTIVITÉS POLITIQUES 
001000,001020,action politique globale ,ACTIVITÉS POLITIQUES 
001000,001025,activités citoyennes européennes ,ACTIVITÉS POLITIQUES 
030000,030005,"comité, défense d'un emploi","AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030010,"entreprises d'insertion, associations intermédiaires, régies de quartier","AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030012,"comités de défense et d'animation de quartier, association locale ou municipale","AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030015,groupement d'employeurs ,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030020,aide à la création d'activités économiques individuelles ,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
030000,030050,promotion d'initiatives de développement durable ,"AIDE À L'EMPLOI, DÉVELOPPEMENT LOCAL, PROMOTION DE SOLIDARITÉS ÉCONOMIQUES, VIE LOCALE"
014000,014025,organisation de professions (hors caractère syndical)  ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014030,association du personnel d'une entreprise (hors caractère syndical) ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014035,groupements d'entraide et de solidarité ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014040,"amicale de personnes originaires d'un même pays (hors défense des droits des étrangers), d'une même région du monde","AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014045,amicale de personnes originaires d'une même région ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014050,associations féminines pour l'entraide et la solidarité (hors défense de droits fondamentaux) ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
014000,014060,associations de personnes homosexuelles pour l'entraide et la solidarité (hors défense de droits fondamentaux) ,"AMICALES, GROUPEMENTS AFFINITAIRES, GROUPEMENTS D'ENTRAIDE (HORS DÉFENSE DE DROITS FONDAMENTAUX)"
